,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-04-29 00:59:59.999,1714330800000,63924.00000000,63928.00000000,63792.68000000,63800.76000000,201.04504000,1714332599999,12837375.37679420,11318,77.24051000,4931181.53586410,0
2024-04-29 01:29:59.999,1714332600000,63800.77000000,63800.77000000,63715.36000000,63730.49000000,132.62353000,1714334399999,8456122.11850620,9820,55.50073000,3538629.76173710,0
2024-04-29 01:59:59.999,1714334400000,63730.49000000,63745.91000000,63588.72000000,63605.01000000,176.94587000,1714336199999,11262824.91006590,14136,76.65614000,4878836.98256660,0
2024-04-29 02:29:59.999,1714336200000,63605.01000000,63688.79000000,63605.01000000,63686.00000000,120.94287000,1714337999999,7698194.36733250,8294,77.76632000,4949674.80113570,0
2024-04-29 02:59:59.999,1714338000000,63686.00000000,63745.86000000,63622.54000000,63680.49000000,168.24263000,1714339799999,10713122.98290110,9430,84.89144000,5405482.76832110,0
2024-04-29 03:29:59.999,1714339800000,63680.50000000,63683.61000000,63609.00000000,63661.99000000,134.52382000,1714341599999,8561499.48316030,8724,54.75944000,3485111.40221750,0
2024-04-29 03:59:59.999,1714341600000,63662.00000000,63714.76000000,63357.31000000,63480.41000000,499.71852000,1714343399999,31736846.04189810,22070,249.57117000,15847506.81525330,0
2024-04-29 04:29:59.999,1714343400000,63480.42000000,63480.42000000,62870.00000000,63151.05000000,1740.93263000,1714345199999,109903022.26605110,48510,879.32327000,55500520.60802450,0
2024-04-29 04:59:59.999,1714345200000,63151.06000000,63151.06000000,62781.00000000,62967.21000000,924.58247000,1714346999999,58185906.41832680,34081,390.10856000,24556657.21218790,0
2024-04-29 05:29:59.999,1714347000000,62967.21000000,63164.70000000,62828.65000000,63118.62000000,528.22123000,1714348799999,33267823.86794450,24409,309.56522000,19498927.56147470,0
2024-04-29 05:59:59.999,1714348800000,63118.62000000,63321.90000000,63002.86000000,63217.99000000,459.20304000,1714350599999,29020231.96674340,22223,216.44832000,13677327.36641930,0
2024-04-29 06:29:59.999,1714350600000,63217.99000000,63295.13000000,63160.34000000,63257.43000000,180.63022000,1714352399999,11420541.96242880,12012,83.76126000,5295768.89995700,0
2024-04-29 06:59:59.999,1714352400000,63257.42000000,63286.27000000,63084.18000000,63167.70000000,275.51207000,1714354199999,17403273.25425270,14404,128.31956000,8105721.87178360,0
2024-04-29 07:29:59.999,1714354200000,63167.69000000,63367.05000000,63167.69000000,63232.00000000,263.40963000,1714355999999,16660473.37499090,14434,125.61400000,7945604.43716680,0
2024-04-29 07:59:59.999,1714356000000,63231.99000000,63285.08000000,63046.85000000,63127.99000000,259.29788000,1714357799999,16379059.84689960,14604,124.59214000,7868907.11184060,0
2024-04-29 08:29:59.999,1714357800000,63128.00000000,63128.00000000,62570.00000000,62706.33000000,1008.43414000,1714359599999,63293567.35575760,38049,396.66360000,24895422.46137370,0
2024-04-29 08:59:59.999,1714359600000,62706.34000000,62764.84000000,62442.50000000,62655.72000000,807.61591000,1714361399999,50535934.17831840,32284,361.09252000,22597801.81523460,0
2024-04-29 09:29:59.999,1714361400000,62655.71000000,62684.51000000,62150.52000000,62279.67000000,928.26893000,1714363199999,57976850.29800800,34189,417.50929000,26079457.97218310,0
2024-04-29 09:59:59.999,1714363200000,62279.68000000,62560.74000000,62200.03000000,62528.00000000,535.43520000,1714364999999,33410964.82842460,25659,306.41455000,19120682.99027480,0
2024-04-29 10:29:59.999,1714365000000,62528.01000000,62639.40000000,62505.12000000,62542.00000000,432.71031000,1714366799999,27075105.90755520,16866,197.25273000,12342447.03774070,0
