,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-04-29 00:59:59.999,1714330800000,3344.29000000,3344.60000000,3323.41000000,3323.41000000,3066.04240000,1714332599999,10217005.89930900,11968,1290.78770000,4301375.49189700,0
2024-04-29 01:29:59.999,1714332600000,3323.41000000,3323.42000000,3315.90000000,3316.92000000,3482.16000000,1714334399999,11557852.70308900,10959,1769.00970000,5871622.80837000,0
2024-04-29 01:59:59.999,1714334400000,3316.92000000,3321.00000000,3310.80000000,3310.81000000,2986.74270000,1714336199999,9898860.95282800,10180,1432.23980000,4746754.32140300,0
2024-04-29 02:29:59.999,1714336200000,3310.81000000,3315.14000000,3308.81000000,3311.41000000,1863.97690000,1714337999999,6173204.51951100,7043,934.53650000,3095089.88285400,0
2024-04-29 02:59:59.999,1714338000000,3311.40000000,3313.70000000,3305.66000000,3307.21000000,2943.99720000,1714339799999,9740793.29425400,9173,1475.32570000,4881585.10607700,0
2024-04-29 03:29:59.999,1714339800000,3307.20000000,3309.16000000,3298.03000000,3306.24000000,3628.15960000,1714341599999,11984660.70538900,10508,1583.63320000,5231288.66109400,0
2024-04-29 03:59:59.999,1714341600000,3306.23000000,3311.49000000,3299.25000000,3306.40000000,4124.04410000,1714343399999,13636404.42515400,12867,2447.54890000,8093331.71399300,0
2024-04-29 04:29:59.999,1714343400000,3306.40000000,3306.41000000,3282.90000000,3290.61000000,10924.71840000,1714345199999,35966782.35423500,26899,5417.02040000,17832971.11786100,0
2024-04-29 04:59:59.999,1714345200000,3290.62000000,3290.62000000,3262.84000000,3269.38000000,12743.67340000,1714346999999,41711021.38329800,30768,5909.87030000,19345910.22679000,0
2024-04-29 05:29:59.999,1714347000000,3269.39000000,3273.95000000,3251.97000000,3263.45000000,8153.65850000,1714348799999,26581926.93578700,22305,4352.97640000,14190960.28409300,0
2024-04-29 05:59:59.999,1714348800000,3263.44000000,3286.34000000,3259.34000000,3277.20000000,7340.33470000,1714350599999,24045445.38299400,18894,4565.79170000,14955109.03798100,0
2024-04-29 06:29:59.999,1714350600000,3277.19000000,3284.96000000,3272.44000000,3282.52000000,3194.00650000,1714352399999,10474647.23839900,9620,1965.35040000,6445659.10265500,0
